region,dvd_era,prod_type,count,total,prop
Eastern Asia,pre,Independent,176,486,0.36213991769547327
Eastern Asia,pre,Small,189,486,0.3888888888888889
Eastern Asia,pre,Big,118,486,0.24279835390946503
Eastern Asia,pre,Super,3,486,0.006172839506172839
Eastern Asia,during,Independent,336,1579,0.21279290690310323
Eastern Asia,during,Small,665,1579,0.42115262824572514
Eastern Asia,during,Big,448,1579,0.28372387587080433
Eastern Asia,during,Super,130,1579,0.08233058898036733
Eastern Asia,post,Independent,318,1512,0.21031746031746032
Eastern Asia,post,Small,252,1512,0.16666666666666666
Eastern Asia,post,Big,548,1512,0.36243386243386244
Eastern Asia,post,Super,394,1512,0.2605820105820106
Europe,pre,Independent,232,938,0.24733475479744135
Europe,pre,Small,392,938,0.417910447761194
Europe,pre,Big,302,938,0.32196162046908317
Europe,pre,Super,12,938,0.01279317697228145
Europe,during,Independent,1154,6249,0.1846695471275404
Europe,during,Small,2818,6249,0.4509521523443751
Europe,during,Big,1861,6249,0.2978076492238758
Europe,during,Super,416,6249,0.06657065130420867
Europe,post,Independent,2132,6556,0.32519829164124464
Europe,post,Small,2870,6556,0.43776693105552167
Europe,post,Big,1285,6556,0.19600366076876144
Europe,post,Super,269,6556,0.04103111653447224
North America,pre,Independent,805,5650,0.1424778761061947
North America,pre,Small,1987,5650,0.35168141592920354
North America,pre,Big,2737,5650,0.48442477876106194
North America,pre,Super,121,5650,0.021415929203539824
North America,during,Independent,3422,13645,0.25078783437156466
North America,during,Small,4122,13645,0.302088677171125
North America,during,Big,4712,13645,0.3453279589593258
North America,during,Super,1389,13645,0.10179552949798461
North America,post,Independent,4255,10493,0.4055084341942247
North America,post,Small,2158,10493,0.2056609168016773
North America,post,Big,2267,10493,0.21604879443438482
North America,post,Super,1813,10493,0.17278185456971315
Russia,pre,Independent,24,48,0.5
Russia,pre,Small,20,48,0.4166666666666667
Russia,pre,Big,4,48,0.08333333333333333
Russia,pre,Super,0,48,0.0
Russia,during,Independent,133,466,0.2854077253218884
Russia,during,Small,277,466,0.5944206008583691
Russia,during,Big,53,466,0.11373390557939914
Russia,during,Super,3,466,0.006437768240343348
Russia,post,Independent,170,590,0.288135593220339
Russia,post,Small,344,590,0.5830508474576271
Russia,post,Big,73,590,0.12372881355932204
Russia,post,Super,3,590,0.005084745762711864
South America,pre,Independent,27,44,0.6136363636363636
South America,pre,Small,11,44,0.25
South America,pre,Big,6,44,0.13636363636363635
South America,pre,Super,0,44,0.0
South America,during,Independent,224,403,0.5558312655086849
South America,during,Small,153,403,0.37965260545905705
South America,during,Big,17,403,0.04218362282878412
South America,during,Super,9,403,0.022332506203473945
South America,post,Independent,815,1040,0.7836538461538461
South America,post,Small,173,1040,0.16634615384615384
South America,post,Big,36,1040,0.03461538461538462
South America,post,Super,16,1040,0.015384615384615385
Southern Asia,pre,Independent,56,79,0.7088607594936709
Southern Asia,pre,Small,17,79,0.21518987341772153
Southern Asia,pre,Big,6,79,0.0759493670886076
Southern Asia,pre,Super,0,79,0.0
Southern Asia,during,Independent,404,1023,0.3949169110459433
Southern Asia,during,Small,527,1023,0.5151515151515151
Southern Asia,during,Big,74,1023,0.07233626588465299
Southern Asia,during,Super,18,1023,0.017595307917888565
Southern Asia,post,Independent,718,1590,0.45157232704402517
Southern Asia,post,Small,566,1590,0.3559748427672956
Southern Asia,post,Big,242,1590,0.15220125786163521
Southern Asia,post,Super,64,1590,0.04025157232704402
UK,pre,Independent,65,727,0.08940852819807428
UK,pre,Small,278,727,0.38239339752407153
UK,pre,Big,360,727,0.4951856946354883
UK,pre,Super,24,727,0.033012379642365884
UK,during,Independent,373,2185,0.17070938215102974
UK,during,Small,763,2185,0.3491990846681922
UK,during,Big,790,2185,0.36155606407322655
UK,during,Super,259,2185,0.11853546910755149
UK,post,Independent,608,1836,0.3311546840958606
UK,post,Small,418,1836,0.22766884531590414
UK,post,Big,527,1836,0.28703703703703703
UK,post,Super,283,1836,0.15413943355119825
